id,name,mapId,spotNumber,description,environment,difficulty,unlockLevel,biteRate,lineStrength,castDistance,lureEffectiveness,experienceBonus,fishPopulation,uniqueFeatures
starting_port,Starting Port,starting_port,1,"The main hub for all your fishing adventures. Access shops, manage your inventory, and prepare for your next trip.",saltwater,0,1,0.5,1,1,1,0,"","Access to Shop|No fishing available|Game starting point"
beginner_lake_dock,Beginner Lake - Wooden Dock,beginner_waters,1,A peaceful wooden dock perfect for learning fishing basics,freshwater,1,1,1.3,1.1,1,1.2,1,"bluegill|sunfish|small_bass|perch|minnow","Tutorial guidance|Calm waters|Equipment introductions"
beginner_lake_shallows,Beginner Lake - Shallow Waters,beginner_waters,2,Clear shallow waters where you can see fish swimming,freshwater,1,1,1.2,1,0.9,1.1,1,"bluegill|sunfish|crappie|small_perch|dace","High visibility|Easy casting|Frequent bites"
beginner_lake_lily_pads,Beginner Lake - Lily Pad Area,beginner_waters,3,A section covered with lily pads where bass like to hide,freshwater,2,2,1.1,0.9,0.8,1.3,1.1,"bass|bluegill|pike_fingerling|sunfish|perch","Cover structures|Precision casting required|Bass hideouts"
beginner_lake_deep_end,Beginner Lake - Deep End,beginner_waters,4,The deeper part of the lake where larger fish roam,freshwater,3,3,0.9,0.8,1.2,1,1.2,"large_bass|pike|walleye|catfish|carp","Deep water|Large fish|More challenging"
beginner_creek_inlet,Creek Inlet,beginner_waters,5,Where a small creek flows into the lake bringing fresh nutrients,freshwater,2,2,1.4,0.9,0.9,1.2,1.1,"trout|dace|chub|small_bass|minnow","Current effects|High fish activity|Fresh water mixing"
beginner_rocky_shore,Rocky Shore,beginner_waters,6,A rocky shoreline where fish seek shelter among the stones,freshwater,2,3,1,0.8,1,1.1,1.1,"smallmouth_bass|rock_bass|perch|sunfish|darter","Rock formations|Snag hazards|Structure fishing"
beginner_weed_beds,Weed Beds,beginner_waters,7,Dense underwater vegetation that attracts various fish species,freshwater,3,4,1.2,0.7,0.8,1.4,1.2,"northern_pike|bass|bluegill|perch|pickerel","Heavy cover|Weedless lures recommended|Ambush predators"
beginner_muddy_bottom,Muddy Bottom,beginner_waters,8,Soft muddy bottom where bottom-feeders search for food,freshwater,2,3,1.1,1,1,0.9,1.1,"catfish|carp|bullhead|sucker|eel","Bottom feeding|Night fishing preferred|Murky water"
beginner_fallen_tree,Fallen Tree,beginner_waters,9,A large fallen tree creates perfect fish habitat,freshwater,3,4,1.3,0.7,0.7,1.5,1.3,"large_bass|pike|bluegill|crappie|perch","Prime structure|High snag risk|Big fish hideout"
beginner_boat_launch,Boat Launch Ramp,beginner_waters,10,A concrete boat ramp with deeper access to the main lake,freshwater,2,3,1,1,1.3,1,1.1,"walleye|bass|pike|perch|white_bass","Deep water access|Boat traffic|Varied depths"
harbor_main_pier,Harbor - Main Pier,coastal_harbor,1,The bustling main pier with deep water access,saltwater,3,5,1,0.8,1.2,1,1.2,"striped_bass|bluefish|flounder|sea_robin|scup","Tidal effects|Boat traffic|Deep water"
harbor_jetty_rocks,Harbor - Jetty Rocks,coastal_harbor,2,Rocky jetty providing shelter for marine life,saltwater,4,6,1.2,0.7,0.9,1.3,1.3,"black_sea_bass|tautog|striped_bass|cunner|porgy","Rock structure|Current breaks|Snag hazards"
harbor_sandy_flats,Harbor - Sandy Flats,coastal_harbor,3,Shallow sandy areas where flatfish hunt,saltwater,2,5,1.1,1,1.1,0.9,1.1,"summer_flounder|winter_flounder|skate|sand_dab|weakfish","Shallow water|Sandy bottom|Flatfish specialty"
harbor_channel_edge,Harbor - Channel Edge,coastal_harbor,4,Deep shipping channel where large fish patrol,saltwater,4,7,0.9,0.7,1.4,1,1.4,"bluefish|striper_large|weakfish|spanish_mackerel|bonito","Deep channel|Strong currents|Large fish migration route"
mountain_crystal_falls,Crystal Falls,mountain_streams,1,A beautiful waterfall creating deep pools below,mountain_freshwater,4,10,0.8,0.6,0.7,1.4,1.4,"rainbow_trout|brook_trout|mountain_whitefish|sculpin|dace","Waterfall pools|Strong currents|Crystal clear water"
mountain_rapids_bend,Rapids Bend,mountain_streams,2,Fast-flowing rapids with rocky outcrops,mountain_freshwater,5,11,0.7,0.5,0.6,1.6,1.6,"brown_trout|cutthroat_trout|mountain_sucker|sculpin|minnow","Extreme currents|Precision casting required|Wild trout habitat"
midnight_moonlit_cove,Moonlit Cove,midnight_lakes,1,A mystical cove where moonlight dances on the water,mystical_freshwater,4,15,1.2,0.8,1.1,1.3,1.4,"moonbeam_bass|luna_catfish|twilight_perch|silver_carp|night_crawler","Moonlight effects|Mystical atmosphere|Lunar fish behavior"
championship_grand_arena,Grand Tournament Arena,championship_waters,1,The main competition platform for elite tournaments,tournament_waters,6,20,0.8,0.5,1.3,1.4,2,"champion_bass|tournament_marlin|trophy_salmon|elite_tuna|master_pike","Tournament platform|Elite competition|Maximum prestige"
championship_hall_of_fame,Hall of Fame Waters,championship_waters,10,The ultimate fishing destination for champions,tournament_waters,8,50,0.2,0.1,1.8,2,5,"fame_leviathan|champion_kraken|trophy_behemoth|glory_dragon|victory_titan","Ultimate challenge|Hall of fame status|Maximum prestige" 
